Experiment,Epoch,Loss,Accuracy
Unfrozen Encoder,81,0.0302,98.91
Unfrozen Encoder,82,0.0274,99.04
Unfrozen Encoder,83,0.0263,99.12
Unfrozen Encoder,84,0.0288,99.0
Unfrozen Encoder,85,0.0262,98.99
Unfrozen Encoder,86,0.0304,98.92
Unfrozen Encoder,87,0.0289,99.0
Unfrozen Encoder,88,0.0265,99.04
Unfrozen Encoder,89,0.0259,99.07
Unfrozen Encoder,90,0.0268,99.07
Unfrozen Encoder,91,0.0258,99.06
Unfrozen Encoder,92,0.0248,99.11
Unfrozen Encoder,93,0.0277,98.99
Unfrozen Encoder,94,0.0263,99.03
Unfrozen Encoder,95,0.0242,99.09
Unfrozen Encoder,96,0.0248,99.11
Unfrozen Encoder,97,0.0241,99.22
Unfrozen Encoder,98,0.0259,99.11
Unfrozen Encoder,99,0.0238,99.15
Unfrozen Encoder,100,0.0241,99.13
